PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY
5f72473314afc916af99e341,image-to-prompt,0,0,5,"A modern office with large windows where a man and a woman sit at desks working on computers. The space is bright, minimal, and neatly organized with lamps and plants","[21,34];[43,92];[2,15];[150,166]","[107,144]",0,1754997993199,1754997993271,Backspace,8, Monthly
5f72473314afc916af99e341,image-to-prompt,0,0,5,"A modern office with large windows where a man and a woman sit at desks working on computers. The space is bright, minimal, and neatly organized with lamps and plants","[21,34];[43,92];[2,15];[150,166]","[107,144]",1,1754997994903,1754997994982,Backspace,8, Monthly
5f72473314afc916af99e341,image-to-prompt,0,0,5,"A modern office with large windows where a man and a woman sit at desks working on computers. The space is bright, minimal, and neatly organized with lamps and plants","[21,34];[43,92];[2,15];[150,166]","[107,144]",2,1754997995231,1754997995311,Backspace,8, Monthly
5f72473314afc916af99e341,image-to-prompt,0,0,5,"A modern office with large windows where a man and a woman sit at desks working on computers. The space is bright, minimal, and neatly organized with lamps and plants","[21,34];[43,92];[2,15];[150,166]","[107,144]",3,1754997996303,1754997996359,Backspace,8, Monthly
